23423,Marché Salomon,Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/BeatrizSantiagoMu%C3%B1oz_March%C3%A9SalomonENGSUBS/index.m3u8,,
23425,Prisoner's Cinema,Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/BeatrizSantiagoMu%C3%B1oz_PrisonersCinema_ENGsubs/index.m3u8,,
28607,Mandacura,Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Biarritzzz_Mandacura/index.m3u8,,
26867,Pause/Tanmpo,Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Bill_Bidjocka_Tanmpo/index.m3u8,,
18155,The Orbit,Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Bo+Wang/The+Orbit/index.m3u8,,
21794,"Miasma, Plants, Export Paintings",Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/BoWangPanLu_MiasmaPlantsExportPaintings/index.m3u8,,
21822,Sólheimasandur,Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Calder%C3%B3n_and_Pi%C3%B1eros_La_Decanatura/index.m3u8,,
21820,Gated Commune,Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/CamelCollective_GatedCommune/index.m3u8,,
32762,El mato,Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Camilo_Echeverri_ElMato/index.m3u8,,
28461,Infinity and Infinity Plus One,Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Cao_Shu_InfinityandInfinityPlusOneWEB/index.m3u8,,
37802,Phantom Sugar,Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Cao_Shu_PhantomSugar/index.m3u8,,
42305,Inverted World,Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Carlos-Motta/Inverted-World/Carlos_Motta_re%CC%81quiem_mundo_invertido_exhibition_h264index.m3u8,,
37447,Last Light,Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Carmen_Argote_LastLight/index.m3u8,,
21796,Esto No Es Agua / This Is Not Water,Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Carolina_Caycedo_Esto_No_Es_Agua/index.m3u8,,
41688,Corrientes Mercuriales,Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Carolina+Fusilier/Corrientes+Mercuriales%2C+2023/Carolina+Fusilier_Corrientes+Mercuriales_Exhibition.mp4/index.m3u8,,
29428,Landslides,Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Caroline_D%C3%A9odat_Landslides/index.m3u8,,
19327,Pre-Existing Condition,Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Carolyn_Lazard_PreexistingCondition/index.m3u8,,
23199,Sojourner,Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Cauleen_Smith_Sojourner/index.m3u8,,
24527,Lightning Dance,Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Cecilia_Bengolea_LIGHTNINGDANCE/index.m3u8,,
38572,GOOD MORNING YOUNG BODY,Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Charmaine+Poh_GOODMORNING+YOUNG+BODY/index.m3u8,,
21551,My Utopia,Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Che_Onejoon_MyUtopia/index.m3u8,,
21774,Spirit Writing,Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Chia_Wei_Hsu_SpiritWriting/index.m3u8,,
21770,Takasago,Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Chia_Wei_Hsu_Takasago/index.m3u8,,
21499,Mud Man,Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/ChikakoYamashiro_MudMan/index.m3u8,,
18163,Rainbow Body,Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Chitra_Ganesh_RainbowBody/index.m3u8,,
23790,Rabbithole,Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/ChitraGanesh_Rabbithole/index.m3u8,,
23792,Silhouette in the Graveyard,Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/ChitraGanesh_SilhouetteInTheGraveyard/index.m3u8,,
26344,Hand Palm Echo 1,NFT,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Chrisine_Sun_Kim_Hand_Palm_Echo1/index.m3u8,,
21782,Sometimes It Was Beautiful,Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Christian_Nyampeta_SometimesItWasBeautiful/index.m3u8,,
42643,Hua-Lam-Pong,Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Chulayarnnon+Siriphol/Hua-Lam-Pong%2C+2004/Chulayarnnon+Siriphol_Hua-Lam-Pong_exhibition_H.264index.m3u8,,
42641,Planking,Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Chulayarnnon+Siriphol/Planking%2C+2012/Chulayarnnon-Siriphol_Planking_exhibition_.H.264index.m3u8,,
21624,Chu’u Mayaa,Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Clarissa_Tossin_Chu'u_Mayaa/index.m3u8,,
21628,Some Dead Don’t Make a Sound (Hay muertos que no hacen ruido),Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Claudia_Joskowicz_HayMuertos_subtitles/index.m3u8,,
21626,Los rastreadores,Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Claudia_Joskowicz_Rastreadores_English/index.m3u8,,
18874,Coyolxauhqui,Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Colectivo+_Los_Ingr%C3%A1vidos_Coyolxauhqui/index.m3u8,,
24539,The Lonely Age,Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Connie Zheng/The Lonely Age/The Lonely Age - Updated credits - Sept 2020/index.m3u8,,
42341,Diario [Diary],Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Cristina-Flores-Pescora%CC%81n/Diario/Cristina-Flores-Pescora%CC%81n_Diario_exhibition_H.264index.m3u8,,
42339,Tu energía siempre estuvo [Your Energy Was Always There],Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Cristina-Flores-Pescora%CC%81n/Tu-energi%CC%81a-siempre-estuvo/Cristina-Flores-Pescora%CC%81n_Tu-energi%CC%81a-siempre-estuvo_exhibition_h.264index.m3u8,,
27181,Letter to a Turtledove,Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Dana_Kavalina_LetterToTurtledove/index.m3u8,,
23504,Hexfluorosilicic,Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Danielle_Dean_Hexfluorosilicic/index.m3u8,,
23502,No Lye,Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Danielle_Dean_NoLye/index.m3u8,,
23506,True Red Ruin (Elmina Castle),Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Danielle_Dean_TrueRedRuin(ElminaCastle)/index.m3u8,,
28284,Of Dice and Men,Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Didem_Pekun_of_Dice_and_Men/index.m3u8,,
17825,Araf,Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/DidemPekun_Araf/index.m3u8,,
405,Frontier-Linear,Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Doug_Aitken_FrontierLinear/index.m3u8,,
24575,Xar - Sueño de obsidiana,Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/EdgarCalel_Xar_MASTER_ING/index.m3u8,,
29896,Soul of Mexico,NFT,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Edgardo_Aragon_the_Soul_of_Mexico/index.m3u8,,
21102,Breathspace,Installation,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Eduardo_Navarro_Breathspace/index.m3u8,,
27239,Las Bambas,Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Elena_Tejada-Herrera_LasBambas/index.m3u8,,
29438,Color Strip,Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Elsa_Werth_ColorStrip/index.m3u8,,
42639,Tierra retumbante [Rumbling Earth],Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Elyla/Rumbling-Earth/Elyla_Rumbling-Earth_exhibition_H.264index.m3u8,,
